"","x"
"107","Clostridiales"
"108","Competibacterales"
"109","Coriobacteriales"
"110","Corynebacteriales"
"111","Coxiellales"
"112","Cyanobacteriales"
"113","Cytophagales"
"114","D90"
"115","Dadabacteriales"
"116","Defferrisomatales"
"117","Defluviicoccales"
"118","Dehalococcoidales"
"119","Deinococcales"
"120","Desulfarculales"
"121","Desulfatiglandales"
"122","Desulfitobacteriales"
"123","Desulfobacterales"
"124","Desulfobulbales"
"125","Desulfomonilales"
"126","Desulfotomaculales"
"127","Desulfovibrionales"
"128","Desulfuromonadales"
"129","DG-20"
"130","Diplorickettsiales"
"131","Dongiales"
"132","EC3"
"133","Ectothiorhodospirales"
"134","Elsterales"
"135","Emcibacterales"
"136","Endomicrobiales"
"137","Enterobacterales"
"138","Entomoplasmatales"
"139","Entotheonellales"
"140","EPR3968-O8a-Bc78"
"141","Erysipelotrichales"
"142","eub62A3"
"143","Eubacteriales"
"144","Eurycoccales"
"145","Euzebyales"
"146","EV818SWSAP88"
"147","Exiguobacterales"
"148","F9P41300-M23"
"149","Fermentibacterales"
"150","Ferrovibrionales"
"151","FGL7S"
"152","Fibrobacterales"
"153","Fimbriimonadales"
"154","Flavobacteriales"
"155","Francisellales"
"156","Frankiales"
"157","FS117-23B-02"
"158","Fusobacteriales"
"159","FW22"
"160","Ga0077536"
"161","Gaiellales"
"162","Gammaproteobacteria Incertae Sedis"
"163","Gastranaerophilales"
"164","GB102"
"165","Gemmatales"
"166","Gemmatimonadales"
"167","GIF3"
"168","GIF9"
"169","Granulosicoccales"
"170","GWA2-38-13b"
"171","Halanaerobiales"
"172","Haliangiales"
"173","Halobacterales"
"174","Haloplasmatales"
"175","HglApr721"
"176","HOC36"
"177","Holophagales"
"178","Holosporales"
"179","Hydrogenedentiales"
"180","I3A"
"181","Iainarchaeales"
"182","Ignavibacteriales"
"183","IMCC26256"
"184","Immundisolibacterales"
"185","Isosphaerales"
"186","Izemoplasmatales"
"187","JGI 0000069-P22"
"188","JTB23"
"189","Kallotenuales"
"190","Kapabacteriales"
"191","Kiloniellales"
"192","Kineosporiales"
"193","Kiritimatiellales"
"194","Kordiimonadales"
"195","Kryptoniales"
"196","Lachnospirales"
"197","Lactobacillales"
"198","Latescibacterales"
"199","LD1-PA32"
"200","LD1-PB3"
"201","Legionellales"
"202","Lentisphaerales"
"203","Leptolyngbyales"
"204","Leptospirales"
"205","Limnotrichales"
"206","Lineage IV"
"207","Longimicrobiales"
"208","Magnetococcales"
"209","Marine Benthic Group D and DHVEG-1"
"210","Marine Group II"
"211","Marine Group III"
"212","Mariprofundales"
"213","MD2894-B20"
"214","Methanofastidiosales"
"215","Methanomassiliicoccales"
"216","Methanosarciniales"
"217","Methylacidiphilales"
"218","Methylococcales"
"219","Micavibrionales"
"220","Micrarchaeales"
"221","Micrococcales"
"222","Micromonosporales"
"223","Micropepsales"
"224","Microtrichales"
"225","MidBa8"
"226","Milano-WF1B-44"
"227","ML602M-17"
"228","mle1-27"
"229","mle1-8"
"230","Moduliflexales"
"231","Monoglobales"
"232","MSB-4B10"
"233","MSB-5B2"
"234","MSBL5"
"235","MSBL9"
"236","MVP-21"
"237","MVP-88"
"238","Mycoplasmatales"
"239","Myxococcales"
"240","NA"
"241","Nannocystales"
"242","Nanosalinales"
"243","Napoli-4B-65"
"244","Nitriliruptorales"
"245","Nitrosococcales"
"246","Nitrosopumilales"
"247","Nitrososphaerales"
"248","Nitrospinales"
"249","Nitrospirales"
"250","NKB5"
"251","NRL2"
"252","Obscuribacterales"
"253","Oligoflexales"
"254","Oligosphaerales"
"255","Omnitrophales"
"256","OPB41"
"257","Opitutales"
"258","Oscillospirales"
"259","Oxyphotobacteria Incertae Sedis"
"260","P.palmC41"
"261","P0X4b2H11"
"262","Paenibacillales"
"263","Paludibaculum"
"264","Paracaedibacterales"
"265","Parvibaculales"
"266","PAUC26f"
"267","PB19"
"268","Pedosphaerales"
"269","PeM15"
"270","Peptococcales"
"271","Peptostreptococcales-Tissierellales"
"272","Petrotogales"
"273","Phormidesmiales"
"274","Phycisphaerales"
"275","Pirellulales"
"276","Piscirickettsiales"
"277","pItb-vmat-80"
"278","Pla1 lineage"
"279","Planctomycetales"
"280","PLTA13"
"281","Polyangiales"
"282","Propionibacteriales"
"283","PS-B29"
"284","Pseudanabaenales"
"285","Pseudomonadales"
"286","Pseudonocardiales"
"287","Puniceispirillales"
"288","Pyrinomonadales"
"289","R7C24"
"290","RBG-13-54-9"
"291","Reyranellales"
"292","RF39"
"293","Rhizobiales"
"294","Rhodobacterales"
"295","Rhodospirillales"
"296","Rhodothermales"
"297","Rickettsiales"
"298","Rubrobacterales"
"299","Run-SP154"
"300","S-70"
"301","S085"
"302","S1-3-65"
"303","Saccharimonadales"
"304","Salinisphaerales"
"305","SAR11 clade"
"306","SAR202 clade"
"307","SBR1031"
"308","sediment-surface35"
"309","SG8-5"
"310","Silvanigrellales"
"311","SJA-15"
"312","SJA-28"
"313","SM1A07"
"314","Sneathiellales"
"315","Solirubrobacterales"
"316","Sphingobacteriales"
"317","Sphingomonadales"
"318","Spirochaetales"
"319","SS1-B-02-17"
"320","SS1-B-07-19"
"321","SS1-B-09-64"
"322","Staphylococcales"
"323","Steroidobacterales"
"324","Streptomycetales"
"325","Streptosporangiales"
"326","Subgroup 17"
"327","Subgroup 2"
"328","Subgroup 7"
"329","Subgroup 9"
"330","Sumerlaeales"
"331","Synechococcales"
"332","Syntrophobacterales"
"333","SZB50"
"334","Tenderiales"
"335","Tepidisphaerales"
"336","Thalassobaculales"
"337","Thermales"
"338","Thermicanales"
"339","Thermoactinomycetales"
"340","Thermoanaerobacterales"
"341","Thermoanaerobaculales"
"342","Thermoflexales"
"343","Thermomicrobiales"
"344","Thermosynechococcales"
"345","Thermotogales"
"346","Thiohalorhabdales"
"347","Thiomicrospirales"
"348","Thiotrichales"
"349","Tistrellales"
"350","TSBb06"
"351","UASB-TL25"
"352","UBA10353 marine group"
"353","UBA4486"
"354","vadinBA26"
"355","Vampirovibrionales"
"356","Veillonellales-Selenomonadales"
"357","Verrucomicrobiales"
"358","VHS-B3-70"
"359","VHS-B4-70"
"360","Vicinamibacterales"
"361","Victivallales"
"362","WCHB1-41"
"363","Woesearchaeales"
"364","Xanthomonadales"
