"OTU.ID" "Mean.blank" "NIOZ164.1.1" "NIOZ164.1.10" "NIOZ164.1.11" "NIOZ164.1.12" "NIOZ164.1.13" "NIOZ164.1.14" "NIOZ164.1.15" "NIOZ164.1.2" "NIOZ164.1.3" "NIOZ164.1.4" "NIOZ164.1.5" "NIOZ164.1.6" "NIOZ164.1.7" "NIOZ164.1.8" "NIOZ164.1.9" "NIOZ164.2.1" "NIOZ164.2.10" "NIOZ164.2.11" "NIOZ164.2.12" "NIOZ164.2.13" "NIOZ164.2.14" "NIOZ164.2.2" "NIOZ164.2.3" "NIOZ164.2.4" "NIOZ164.2.5" "NIOZ164.2.6" "NIOZ164.2.7" "NIOZ164.2.8" "NIOZ164.2.9" "NIOZ164.3.1" "NIOZ164.3.10" "NIOZ164.3.11" "NIOZ164.3.12" "NIOZ164.3.13" "NIOZ164.3.14" "NIOZ164.3.15" "NIOZ164.3.2" "NIOZ164.3.3" "NIOZ164.3.4" "NIOZ164.3.5" "NIOZ164.3.6" "NIOZ164.3.7" "NIOZ164.3.8" "NIOZ164.3.9" "NIOZ164.4.1" "NIOZ164.4.10" "NIOZ164.4.11" "NIOZ164.4.12" "NIOZ164.4.13" "NIOZ164.4.14" "NIOZ164.4.2" "NIOZ164.4.3" "NIOZ164.4.4" "NIOZ164.4.5" "NIOZ164.4.6" "NIOZ164.4.7" "NIOZ164.4.8" "NIOZ164.4.9" "NIOZ164.5.1" "NIOZ164.5.10" "NIOZ164.5.11" "NIOZ164.5.12" "NIOZ164.5.2" "NIOZ164.5.3" "NIOZ164.5.4" "NIOZ164.5.5" "NIOZ164.5.6" "NIOZ164.5.7" "NIOZ164.5.8" "NIOZ164.5.9" "NIOZ164.6.1" "NIOZ164.6.2" "NIOZ164.6.3" "NIOZ164.6.4" "NIOZ164.6.5" "NIOZ164.6.6" "NIOZ164.6.7" "NIOZ164.7.1" "NIOZ164.7.2" "NIOZ164.7.3" "NIOZ164.7.4" "NIOZ164.7.5" "NIOZ164.7.6" "NIOZ164.7.7" "NIOZ164.7.8" "NIOZ164.7.9" "taxonomy"
"1" "asv.1" 1016.85036533406 411 167 506 3215 8 136 34 28 678 393 871 228 431 233 330 37586 143 NA 25 273 20 39620 756 787 574 437 171 64 417 879 1272 796 2629 2822 339 179 2477 25438 447 2676 1780 846 2737 5169 3 19 46 10 5251 22 47 NA 782 203 239 523 60 14 4 112 881 38 1671 565 180 271 629 89 144 147 NA 4 NA NA 2 NA NA 11642 NA 15 673 19 33 79 2192 144 "Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium;acnes/avidum"
"12" "asv.14538" 59.8065741417093 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;NA"
"13" "asv.14583" 59.4667640613587 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia-Caballeronia-Paraburkholderia;NA"
"14" "asv.14901" 2.37867056245435 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA "Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Chelatococcus;composti/daeguensis"
"15" "asv.151" 328.936157779401 453 54 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 11 NA NA NA NA NA NA NA 521 NA NA NA NA NA NA NA 469 NA 303 NA NA NA 402 NA NA 4 NA 6 NA 110 319 NA NA NA NA 67 10 NA NA NA NA NA NA 64 NA 2 NA NA 5 NA NA NA NA NA NA NA NA NA NA NA 411 NA NA NA 13 NA "Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Tepidimonas;arfidensis/fonticaldi"
"16" "asv.15378" 53.0103725346969 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;gingivalis"
"17" "asv.15542" 148.508336722245 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Atopostipes;NA"
"18" "asv.158" 569.521694667641 519 492 283 NA NA NA NA NA 244 NA 870 NA NA NA NA NA NA NA 34 66 NA NA NA NA NA 42 NA NA NA NA 212 NA NA NA NA NA 877 NA NA 363 676 NA NA 641 NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA 11 NA NA NA 20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 12 NA 2 NA NA 330 NA "Bacteria;Cyanobacteria;Vampirivibrionia;Obscuribacterales;Obscuribacteraceae;NA;NA"
"19" "asv.1617" 152.234915997078 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 21 NA NA NA NA NA NA NA NA NA NA NA NA 2 NA NA NA NA NA 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Thermomonas;NA"
"20" "asv.1660" 121.652008765522 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Proteobacteria;Gammaproteobacteria;Diplorickettsiales;Diplorickettsiaceae;Rickettsiella;isopodorum"
"21" "asv.16898" 46.2141709276844 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Veillonella;parvula"
"22" "asv.175" 168.545799853908 548 NA NA 694 NA 27 NA NA 571 NA 817 NA NA NA NA 3616 NA NA NA NA NA 745 NA NA NA NA NA 69 NA 312 NA NA 681 NA NA NA 661 1391 NA NA NA 90 128 NA 2 NA NA 1 NA NA NA NA NA NA 38 NA NA NA NA NA NA 1 NA NA 12 NA 36 NA NA NA 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;baumannii/calcoaceticus/indicus/junii/lactucae/nosocomialis/oleivorans/pittii/rhizosphaerae/seifertii"
"23" "asv.18" 149.516435354273 61 24 74 473 1 20 4 4 100 58 128 33 63 35 48 2181 34 913 80 NA NA 1666 262 547 NA 30 181 69 412 3450 1358 1914 1220 1670 855 NA 1491 1253 682 1423 1493 121 1006 495 NA 7 15 2 1246 NA NA NA 2606 527 255 93 16 7 NA 3 NA NA 13 18 3 2 81 4 4 NA NA NA NA NA NA NA NA 3170 NA 4 841 NA 213 1 1849 13 "Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Undibacterium;oligocarboniphilum"
"24" "asv.1822" 1541.83814558764 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia;NA"
"25" "asv.18291" 40.0975894813733 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;NA;NA;NA"
"26" "asv.1871" 380.257015046767 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Atopostipes;NA"
"27" "asv.18916" 37.7189189189189 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Moheibacter;NA"
"28" "asv.18917" 37.7189189189189 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Tepidimonas;NA"
"29" "asv.1970" 32.6217677136596 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 26 NA NA NA 3 NA 4 NA NA NA 5 11 NA 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 24 "Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;chlororaphis/deceptionensis/endophytica/fluorescens/fragi/helleri/psychrophila/putida/syringae/taiwanensis/weihenstephanensis"
"30" "asv.19761" 34.6606281957633 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;67-14;NA;NA"
"31" "asv.2" 4390.44808442088 1830 11102 4168 7780 71 590 143 350 3911 1696 9046 944 1861 1005 1425 42707 49 140 NA 68 37 6891 2854 310 809 19362 187 564 NA 956 278 759 5864 3052 559 NA 6356 5421 4056 NA 1262 2715 697 2289 5 27 27 8 NA 13 NA NA 3072 2320 407 1255 39 4 1 10 NA NA 48 282 26 14 21 42 18 4 3 NA NA NA NA NA NA 3122 5 26 12825 10 302 35 1536 246 "Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter;aerosaccus"
"32" "asv.2146" 472.956486376576 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Atopostipes;NA"
"33" "asv.21655" 28.8838568298028 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Moheibacter;NA"
"34" "asv.2200" 28.2042366691015 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 21 NA NA NA NA NA 407 NA NA 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia-Caballeronia-Paraburkholderia;NA"
"35" "asv.2208" 469.172834485563 NA NA NA NA NA NA NA NA NA NA NA NA NA 466 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Rhizorhapis;NA"
"36" "asv.24" 100.583783783784 297 804 616 26650 17 45 60 358 NA 309 648 260 805 382 562 1415 37 NA NA 21 NA 749 NA 282 44 55 NA NA NA NA NA NA 239 559 NA NA NA 1007 NA NA NA 45 NA 1152 NA NA NA NA 651 NA NA NA NA NA NA NA 4 NA NA 8 NA 4 56 45 25 23 81 11 21 10 NA NA NA NA NA NA NA 224 NA NA NA 10 NA NA NA 31 "Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium;acnes"
"37" "asv.24996" 60.5384302562017 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia;NA"
"38" "asv.2564" 174.04798698658 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Ottowia;NA"
"39" "asv.269" 49.9520818115413 NA NA NA 1383 NA 139 NA NA 555 NA 374 NA NA NA NA NA 28 NA NA 33 NA NA NA NA NA NA NA NA NA 629 NA NA NA NA NA NA NA 1209 NA NA NA 17 NA NA NA NA NA NA NA NA NA NA NA NA NA 104 NA NA NA NA NA NA NA NA NA NA 47 2 NA NA NA NA NA NA NA NA NA 207 NA NA NA 4 NA NA NA NA "Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;NA"
"40" "asv.2831" 129.127830533236 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halomonadaceae;Halomonas;NA"
"41" "asv.29" 6626.75010757875 1532 NA 714 1590 47 NA NA 179 NA NA NA 1486 595 466 850 423 7 80 NA 28 NA NA NA 179 NA NA NA 10 372 313 159 248 NA NA 486 NA NA 566 131 1364 NA 80 NA NA NA NA NA 2 NA NA 95 NA NA 563 NA 53 8 NA NA NA 527 6 NA 8 8 NA NA NA 2 NA NA NA NA NA NA NA NA 700 NA 6 3666 5 NA NA 833 NA "Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;acidovorans/cf./lacustris/tsuruhatensis"
"42" "asv.297" 95.1468224981738 NA NA 451 688 NA NA NA NA NA 167 NA NA NA 56 NA 490 NA NA NA NA NA 97 NA NA 80 530 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4 NA NA NA 7 NA NA NA 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria;arsenatis/rhizophila/salsicia"
"43" "asv.31" 224.61446311176 131 1039 1073 429 7 39 57 198 594 137 1382 1014 455 NA 1362 417 39 NA NA 45 NA 2122 NA 140 7 NA 25 NA 1848 562 1366 526 419 543 NA NA 1344 805 782 685 151 333 282 496 3 9 14 NA NA NA 114 NA NA 1039 57 235 NA NA NA NA 1084 NA 26 51 109 29 55 25 3 NA NA NA NA NA NA NA NA 2316 NA 5 4110 22 159 25 384 111 "Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;acidaminiphila/humi/maltophilia/pavanii"
"44" "asv.3459" 77.1368882395909 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Polaromonas;cryoconiti/glacialis/naphthalenivorans"
